X,CH1,CH2,
Second,Volt,Volt,
8.50000e-05,2.00e-01,5.00e+00,
8.51000e-05,2.00e-01,5.00e+00,
8.52000e-05,2.00e-01,5.00e+00,
8.53000e-05,2.00e-01,5.00e+00,
8.54000e-05,2.00e-01,5.00e+00,
8.55000e-05,2.00e-01,5.00e+00,
8.56000e-05,2.00e-01,4.80e+00,
8.57000e-05,2.00e-01,5.00e+00,
8.58000e-05,2.00e-01,5.00e+00,
8.59000e-05,2.00e-01,5.00e+00,
8.60000e-05,2.00e-01,5.00e+00,
8.61000e-05,2.60e+00,5.00e+00,
8.62000e-05,5.00e+00,5.00e+00,
8.63000e-05,5.00e+00,2.60e+00,
8.64000e-05,5.00e+00,0.00e+00,
8.65000e-05,5.00e+00,0.00e+00,
8.66000e-05,4.80e+00,0.00e+00,
8.67000e-05,4.80e+00,0.00e+00,
8.68000e-05,4.80e+00,0.00e+00,
8.69000e-05,5.00e+00,2.00e-01,
8.70000e-05,5.00e+00,2.00e-01,
8.71000e-05,5.00e+00,2.00e-01,
8.72000e-05,4.80e+00,2.00e-01,
8.73000e-05,4.80e+00,2.00e-01,
8.74000e-05,4.80e+00,2.00e-01,
8.75000e-05,5.00e+00,2.00e-01,
8.76000e-05,5.00e+00,2.00e-01,
8.77000e-05,5.00e+00,2.00e-01,
8.78000e-05,4.80e+00,2.00e-01,
8.79000e-05,4.80e+00,2.00e-01,
8.80000e-05,4.80e+00,2.00e-01,
8.81000e-05,4.80e+00,4.00e-01,
8.82000e-05,4.80e+00,4.00e-01,
8.83000e-05,4.80e+00,4.00e-01,
8.84000e-05,4.80e+00,4.00e-01,
8.85000e-05,4.80e+00,4.00e-01,
8.86000e-05,4.60e+00,4.00e-01,
8.87000e-05,4.80e+00,4.00e-01,
8.88000e-05,4.80e+00,4.00e-01,
8.89000e-05,4.80e+00,4.00e-01,
8.90000e-05,4.80e+00,4.00e-01,
8.91000e-05,4.80e+00,4.00e-01,
8.92000e-05,4.80e+00,4.00e-01,
8.93000e-05,4.80e+00,4.00e-01,
8.94000e-05,4.80e+00,4.00e-01,
8.95000e-05,4.80e+00,4.00e-01,
8.96000e-05,4.80e+00,2.00e-01,
8.97000e-05,4.80e+00,4.00e-01,
8.98000e-05,4.80e+00,4.00e-01,
8.99000e-05,4.80e+00,6.00e-01,
9.00000e-05,4.80e+00,6.00e-01,
9.01000e-05,5.00e+00,6.00e-01,
9.02000e-05,5.00e+00,4.00e-01,
9.03000e-05,5.00e+00,4.00e-01,
9.04000e-05,5.00e+00,4.00e-01,
9.05000e-05,4.80e+00,2.80e+00,
9.06000e-05,4.60e+00,5.20e+00,
9.07000e-05,4.80e+00,5.20e+00,
9.08000e-05,4.80e+00,5.00e+00,
9.09000e-05,4.80e+00,5.20e+00,
9.10000e-05,4.80e+00,5.20e+00,
9.11000e-05,4.80e+00,5.20e+00,
9.12000e-05,4.80e+00,5.20e+00,
9.13000e-05,4.80e+00,5.20e+00,
9.14000e-05,4.80e+00,5.00e+00,
9.15000e-05,5.00e+00,5.20e+00,
9.16000e-05,5.00e+00,5.20e+00,
9.17000e-05,5.00e+00,5.20e+00,
9.18000e-05,4.80e+00,5.20e+00,
9.19000e-05,4.80e+00,5.20e+00,
9.20000e-05,4.80e+00,5.00e+00,
9.21000e-05,4.80e+00,2.60e+00,
9.22000e-05,4.80e+00,0.00e+00,
9.23000e-05,4.80e+00,2.00e-01,
9.24000e-05,4.80e+00,4.00e-01,
9.25000e-05,4.80e+00,4.00e-01,
9.26000e-05,4.80e+00,2.00e-01,
9.27000e-05,4.80e+00,2.00e-01,
9.28000e-05,4.60e+00,2.00e-01,
9.29000e-05,4.80e+00,2.00e-01,
9.30000e-05,4.80e+00,0.00e+00,
9.31000e-05,4.80e+00,2.00e-01,
9.32000e-05,4.80e+00,4.00e-01,
9.33000e-05,4.80e+00,4.00e-01,
9.34000e-05,4.60e+00,4.00e-01,
9.35000e-05,4.80e+00,4.00e-01,
9.36000e-05,4.80e+00,4.00e-01,
9.37000e-05,2.60e+00,4.00e-01,
9.38000e-05,2.00e-01,4.00e-01,
9.39000e-05,2.00e-01,4.00e-01,
9.40000e-05,2.00e-01,4.00e-01,
9.41000e-05,2.00e-01,4.00e-01,
9.42000e-05,2.00e-01,4.00e-01,
9.43000e-05,2.00e-01,4.00e-01,
9.44000e-05,2.00e-01,4.00e-01,
9.45000e-05,2.00e-01,4.00e-01,
9.46000e-05,2.00e-01,4.00e-01,
9.47000e-05,2.00e-01,4.00e-01,
9.48000e-05,2.00e-01,4.00e-01,
9.49000e-05,2.00e-01,4.00e-01,
9.50000e-05,2.00e-01,4.00e-01,
9.51000e-05,2.00e-01,4.00e-01,
9.52000e-05,2.00e-01,4.00e-01,
9.53000e-05,2.00e-01,6.00e-01,
9.54000e-05,2.00e-01,6.00e-01,
9.55000e-05,2.00e-01,6.00e-01,
9.56000e-05,2.00e-01,4.00e-01,
9.57000e-05,2.00e-01,4.00e-01,
9.58000e-05,2.00e-01,4.00e-01,
9.59000e-05,2.00e-01,4.00e-01,
9.60000e-05,2.00e-01,4.00e-01,
9.61000e-05,2.00e-01,4.00e-01,
9.62000e-05,2.00e-01,4.00e-01,
9.63000e-05,2.00e-01,4.00e-01,
9.64000e-05,2.00e-01,4.00e-01,
9.65000e-05,2.00e-01,2.80e+00,
9.66000e-05,2.00e-01,5.20e+00,
9.67000e-05,2.00e-01,5.20e+00,
9.68000e-05,2.00e-01,5.20e+00,
9.69000e-05,2.00e-01,5.20e+00,
9.70000e-05,2.00e-01,5.20e+00,
9.71000e-05,2.00e-01,5.20e+00,
9.72000e-05,2.00e-01,5.20e+00,
9.73000e-05,2.00e-01,5.20e+00,
9.74000e-05,2.00e-01,5.00e+00,
9.75000e-05,4.00e-01,5.20e+00,
9.76000e-05,6.00e-01,5.20e+00,
9.77000e-05,4.00e-01,5.20e+00,
9.78000e-05,2.00e-01,5.00e+00,
9.79000e-05,2.00e-01,5.00e+00,
9.80000e-05,2.00e-01,5.00e+00,
9.81000e-05,2.00e-01,2.60e+00,
9.82000e-05,2.00e-01,0.00e+00,
