X,CH1,CH2,
Second,Volt,Volt,
-1.16060e-03,4.60e+00,7.99e-02,
-1.15860e-03,-2.00e-01,1.60e-01,
-1.15660e-03,0.00e+00,5.12e+00,
-1.15460e-03,-2.00e-01,4.88e+00,
-1.15260e-03,0.00e+00,5.12e+00,
-1.15060e-03,-2.00e-01,4.96e+00,
-1.14860e-03,4.60e+00,1.60e-01,
-1.14660e-03,4.80e+00,4.00e-01,
-1.14460e-03,-2.00e-01,-4.00e-01,
-1.14260e-03,-2.00e-01,2.40e-01,
-1.14060e-03,2.00e-01,5.20e+00,
-1.13860e-03,-2.00e-01,5.12e+00,
-1.13660e-03,2.00e-01,4.88e+00,
-1.13460e-03,-2.00e-01,1.04e+00,
-1.13260e-03,2.00e-01,1.60e-01,
-1.13060e-03,-2.00e-01,2.40e-01,
-1.12860e-03,2.00e-01,5.28e+00,
-1.12660e-03,0.00e+00,4.88e+00,
-1.12460e-03,-4.00e-01,5.28e+00,
-1.12260e-03,-2.00e-01,4.96e+00,
-1.12060e-03,2.00e-01,1.60e-01,
-1.11860e-03,0.00e+00,1.04e+00,
-1.11660e-03,-2.00e-01,1.60e-01,
-1.11460e-03,0.00e+00,2.40e-01,
-1.11260e-03,-2.00e-01,5.20e+00,
-1.11060e-03,-2.00e-01,5.12e+00,
-1.10860e-03,0.00e+00,4.88e+00,
-1.10660e-03,-2.00e-01,7.99e-02,
-1.10460e-03,2.00e-01,3.20e-01,
-1.10260e-03,-2.00e-01,2.40e-01,
-1.10060e-03,2.00e-01,5.12e+00,
-1.09860e-03,-2.00e-01,4.88e+00,
-1.09660e-03,4.60e+00,5.20e+00,
-1.09460e-03,-2.00e-01,4.96e+00,
-1.09260e-03,0.00e+00,-3.20e-01,
-1.09060e-03,-2.00e-01,2.40e-01,
-1.08860e-03,2.00e-01,1.04e+00,
-1.08660e-03,-2.00e-01,2.40e-01,
-1.08460e-03,2.00e-01,5.20e+00,
-1.08260e-03,-2.00e-01,5.36e+00,
-1.08060e-03,4.00e-01,-8.80e-01,
-1.07860e-03,0.00e+00,1.60e-01,
-1.07660e-03,-2.00e-01,2.40e-01,
-1.07460e-03,0.00e+00,2.40e-01,
-1.07260e-03,-2.00e-01,5.20e+00,
-1.07060e-03,2.00e-01,4.40e+00,
-1.06860e-03,-2.00e-01,5.12e+00,
-1.06660e-03,0.00e+00,4.96e+00,
-1.06460e-03,-2.00e-01,7.99e-02,
-1.06260e-03,-2.00e-01,7.99e-02,
-1.06060e-03,4.60e+00,8.80e-01,
-1.05860e-03,-4.00e-01,1.60e-01,
-1.05660e-03,0.00e+00,5.12e+00,
-1.05460e-03,0.00e+00,5.12e+00,
-1.05260e-03,-2.00e-01,-3.20e-01,
-1.05060e-03,0.00e+00,1.60e-01,
-1.04860e-03,-2.00e-01,2.40e-01,
-1.04660e-03,-2.00e-01,2.40e-01,
-1.04460e-03,2.00e-01,5.20e+00,
